id;send_dtm;from_phone_num;to_phone_num;use_yn
1;2020-12-23;Salad override Legacy;Designer;N
2;2020-12-23;system Sleek Associate;Awesome Granite Computer Garden interactive;Y
3;2020-12-23;HDD;Borders portal;N
4;2020-12-23;Supervisor;Street New Zealand Dollar hack;Y
5;2020-12-23;Cross-group THX;Practical Cotton Shirt;N
6;2020-12-23;Forward networks neural;Oklahoma Zimbabwe Dollar sexy;N
7;2020-12-23;parsing;communities Loop Pizza;Y
8;2020-12-24;United Arab Emirates;Sleek Frozen Sausages Senior online;N
9;2020-12-23;deposit integrated;Supervisor;N
10;2020-12-23;Front-line;Engineer transmitting;N
